,train_loss,val_loss,train_acc,val_acc
223,0.0711,0.0707,97.6153,97.3647
224,0.0525,0.0694,97.412,97.3724
225,0.0588,0.0685,97.819,97.4172
226,0.0637,0.0694,97.7065,97.4142
227,0.0715,0.0685,97.4901,97.4271
228,0.0566,0.0692,97.9008,97.4174
229,0.05,0.0703,97.7516,97.4155
230,0.0461,0.0714,97.4955,97.4094
231,0.0475,0.0702,97.9153,97.3986
232,0.0504,0.0703,97.7285,97.4172
233,0.046,0.0699,97.5344,97.4235
234,0.0403,0.0702,97.986,97.4132
235,0.0498,0.071,97.7876,97.4147
236,0.0404,0.071,97.5267,97.4064
237,0.0446,0.0718,97.9882,97.4225
238,0.0441,0.0714,97.8205,97.4241
239,0.0427,0.0708,97.5396,97.3971
240,0.0707,0.079,96.9852,96.9771
241,0.06,0.0752,97.0474,97.132
242,0.0608,0.0753,97.1107,97.1304
243,0.0741,0.0738,97.4295,97.2061
244,0.0621,0.0755,97.3234,97.1622
245,0.0485,0.0741,97.2676,97.1875
246,0.0521,0.0741,97.6792,97.2358
247,0.0648,0.0747,97.4775,97.2182
248,0.0586,0.0748,97.3042,97.2178
249,0.0463,0.075,97.8244,97.2585
250,0.0544,0.0756,97.5489,97.251
251,0.0554,0.0767,97.3535,97.2116
252,0.0592,0.0758,97.8582,97.2336
253,0.0601,0.0752,97.6042,97.2747
254,0.0503,0.0758,97.4118,97.2655
255,0.0467,0.0751,97.9468,97.2799
256,0.0393,0.0763,97.6648,97.2553
257,0.0459,0.0768,97.3901,97.2259
258,0.0507,0.0776,97.9989,97.2273
259,0.0485,0.0776,97.6858,97.2547
260,0.0583,0.0776,97.3838,97.2386
261,0.0665,0.0779,98.0608,97.2186
262,0.0656,0.0796,97.7107,97.2058
263,0.041,0.08,97.3293,97.2151
264,0.0456,0.0794,98.0962,97.2407
265,0.056,0.0789,97.7255,97.2428
266,0.0413,0.0797,97.3922,97.23
267,0.0473,0.0802,98.0952,97.2171
268,0.0464,0.0789,97.7517,97.2533
269,0.0369,0.0809,97.4369,97.2448
270,0.0608,0.0761,96.9314,97.1081
271,0.0782,0.0757,96.9522,97.0984
272,0.0904,0.0741,97.1069,97.1405
273,0.0448,0.0711,97.3146,97.2816
274,0.0642,0.0686,97.3774,97.349
275,0.0694,0.0686,97.3705,97.3457
276,0.0614,0.0699,97.6344,97.3427
277,0.0578,0.0699,97.5211,97.3523
278,0.0538,0.0701,97.4301,97.3202
279,0.0608,0.0704,97.7644,97.3588
280,0.0575,0.0708,97.6179,97.3422
281,0.058,0.0691,97.4354,97.3647
282,0.0566,0.0715,97.8769,97.3652
283,0.0521,0.0714,97.6821,97.3635
284,0.0566,0.0707,97.4097,97.3711
285,0.0316,0.0718,97.9404,97.3647
286,0.0454,0.0744,97.7103,97.3266
287,0.0481,0.0718,97.4309,97.3662
288,0.0396,0.0723,97.9203,97.3677
289,0.0554,0.0712,97.7793,97.3682
290,0.0437,0.0725,97.4916,97.3488
291,0.0433,0.0728,98.0446,97.3453
292,0.048,0.0741,97.776,97.3423
293,0.057,0.0738,97.4368,97.343
294,0.0402,0.0748,98.0411,97.3339
295,0.0519,0.0739,97.7949,97.3557
296,0.0564,0.0737,97.4804,97.3611
297,0.0418,0.0762,98.0487,97.3111
298,0.0564,0.075,97.8088,97.3293
299,0.0471,0.0741,97.4629,97.3453
300,0.0592,0.0756,97.0807,97.1218
301,0.1184,0.0728,97.0241,97.1915
302,0.052,0.0729,97.198,97.204
303,0.0774,0.0716,97.4115,97.2597
304,0.0567,0.0706,97.3754,97.3056
305,0.0449,0.0692,97.3341,97.3517
306,0.0683,0.0697,97.6464,97.366
